,CNPJ_CIA,DENOM_CIA,ticker,SETOR_ATIV,is_financeiro,DT_FIM_EXERC,DT_INI_EXERC,meses_periodo,receita,receita_anualizada,ebit,ebit_anualizado,d_a,d_a_anualizado,ebitda,nopat,ll,ll_anualizado,disponibilidades,divida_bruta,divida_liquida,pl,capital_investido,qt_acoes,roic,rank_roic,market_cap,ev,ev_ebit,preco,roe,margem_liquida,p_l,dl_ebitda,lpa,vpa,preco_graham,margem_seguranca,cagr_lucro,cagr_receita,selic,flag_prejuizo,flag_pl_alto,flag_alavancagem,flag_cagr_neg,flag_margem_baixa,flag_roe_baixo
847,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,AALR3,Serviços Médicos,False,2021-12-31,2021-01-01,12.0,1136572000.0,1136572000.0,88174000.0,88174000.0,224140000.0,224140000.0,312314000.0,71372114.00651465,1988000.0,1988000.0,127310000.0,777986000.0,650676000.0,1209434000.0,1860110000.0,118292816.0,0.0383698351207803,304.0,1951831464.0,2602507464.0,29.515588087191237,16.5,0.0016437440984791232,0.0017491192814885462,981.8065714285714,2.083403241609406,0.01680575429026899,10.224069735561963,1.9662202536859066,-7.391735345553911,-0.4139908983624533,0.03619232377929538,0.0925,False,True,False,True,True,True
1921,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,AALR3,Serviços Médicos,False,2021-03-31,2021-01-01,3.0,285180000.0,1140720000.0,32910000.0,131640000.0,161734000.0,646936000.0,778576000.0,108295528.8556234,12530000.0,50120000.0,228654000.0,791650000.0,562996000.0,1236367000.0,1799363000.0,118292816.0,0.0601854816708042,260.0,1045708511.4900513,1608704511.4900513,12.22048398275639,8.84000015258789,0.040538125006571675,0.04393716249386352,20.864096398444758,0.7231098826575697,0.42369436872649985,10.451750510360663,9.98187488791149,0.11439481541753863,,0.058291529048668966,0.0275,False,True,False,False,True,False
1944,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,AALR3,Serviços Médicos,False,2021-09-30,2021-01-01,9.0,866869000.0,1155825333.3333333,106943000.0,142590666.66666666,216938000.0,289250666.6666666,431841333.33333325,102880820.4485545,33393000.0,44524000.0,152402000.0,767534000.0,615132000.0,1240060000.0,1855192000.0,118292816.0,0.0554556188516091,266.0,1750733699.362564,2365865699.362564,16.592009523969995,14.800000190734863,0.03590471428801832,0.038521391352095875,39.32112342472743,1.424439840558724,0.3763880301911149,10.482969650498472,9.422178447118696,-0.5707620348944575,,0.058291529048668966,0.0625,False,True,False,False,True,True
2332,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,AALR3,Serviços Médicos,False,2021-06-30,2021-01-01,6.0,568392000.0,1136784000.0,66536000.0,133072000.0,149583000.0,299166000.0,432238000.0,106843200.84875008,24217000.0,48434000.0,217478000.0,786181000.0,568703000.0,1243390000.0,1812093000.0,118292816.0,0.0589612127240434,259.0,1199489194.8526154,1768192194.8526154,13.287484931861062,10.140000343322754,0.0389531844393151,0.042606159129614775,24.765437396304566,1.3157172668761192,0.4094416012549739,10.511120134294545,9.840377117890426,-0.030448347847115892,,0.058291529048668966,0.0425,False,True,False,False,True,False
3705,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,AALR3,Serviços Médicos,False,2022-03-31,2022-01-01,3.0,275157000.0,1100628000.0,9932000.0,39728000.0,119805000.0,479220000.0,518948000.0,23330098.91220834,-14522000.0,-58088000.0,81625000.0,761559000.0,679934000.0,1193943000.0,1873877000.0,118292816.0,0.0124501762454036,338.0,2296063540.5099487,2975997540.5099487,74.90932190168014,19.40999984741211,-0.048652238842222785,-0.052777141777239904,,1.3102160524753925,-0.49105264346737676,10.093115037518423,,,-0.4139908983624533,0.03619232377929538,0.1175,False,False,False,True,True,True
3732,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,AALR3,Serviços Médicos,False,2022-06-30,2022-01-01,6.0,541674000.0,1083348000.0,28081000.0,56162000.0,168596000.0,337192000.0,393354000.0,29360009.80558621,-24631000.0,-49262000.0,240190000.0,808798000.0,568608000.0,1174447000.0,1743055000.0,118292816.0,0.0168439950578646,335.0,2435649099.4900513,3004257099.4900513,53.49270146166538,20.59000015258789,-0.041944847234485674,-0.04547199976369551,,1.4455376073460546,-0.4164411810096735,9.928303676530957,,,-0.4139908983624533,0.03619232377929538,0.1325,True,False,False,True,True,True
3757,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,AALR3,Serviços Médicos,False,2022-09-30,2022-01-01,9.0,822429000.0,1096572000.0,15024000.0,20032000.0,253327000.0,337769333.3333333,357801333.3333333,17032951.599671863,-97431000.0,-129908000.0,247829000.0,910160000.0,662331000.0,1103434000.0,1765765000.0,118292816.0,0.0096462165688366,365.0,2506624834.2151794,3168955834.2151794,158.19468022240312,21.190000534057617,-0.11773064814026031,-0.1184673692197138,,1.8511138397099323,-1.0981901047989253,9.327988269380619,,,-0.4139908983624533,0.03619232377929538,0.1375,True,False,False,True,True,True
3881,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,AALR3,Serviços Médicos,False,2025-06-30,2025-01-01,6.0,610630000.0,1221260000.0,53310000.0,106620000.0,283565000.0,567130000.0,673750000.0,84571199.94185624,-32741000.0,-65482000.0,116421000.0,438469000.0,322048000.0,1091702000.0,1413750000.0,152359482.0,0.0598204774124535,271.0,746561476.3301325,1068609476.3301325,10.02259872753829,4.900000095367432,-0.05998157006215982,-0.053618394117550726,,0.47799332096474956,-0.4297861816043717,7.16530396184991,,,,0.02553037730396479,0.15,False,False,False,False,True,True
3902,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,AALR3,Serviços Médicos,False,2023-06-30,2023-01-01,6.0,589066000.0,1178132000.0,47773000.0,95546000.0,30178000.0,60356000.0,155902000.0,79818979.48825127,-83940000.0,-167880000.0,95520000.0,991145000.0,895625000.0,894937000.0,1790562000.0,118292816.0,0.0445776127764641,289.0,2856771461.274872,3752396461.274872,39.27319261167262,24.149999618530273,-0.187588623556742,-0.14249676606696024,,5.744794806994137,-1.419190156061548,7.565438293395602,,,,0.0013200392553740503,0.1375,False,False,True,False,True,True
3925,42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,AALR3,Serviços Médicos,False,2023-12-31,2023-01-01,12.0,1179584000.0,1179584000.0,38901000.0,38901000.0,304102000.0,304102000.0,343003000.0,35776139.00752791,-218559000.0,-218559000.0,218595000.0,1045282000.0,826687000.0,943992000.0,1770679000.0,118292816.0,0.0202047570494301,358.0,999574272.6374359,1826261272.637436,46.946383708322045,8.449999809265137,-0.23152632649429233,-0.18528481227280125,,2.410145100771713,-1.847610086482344,7.980129579466601,,,,0.018378559806664807,0.1175,True,False,False,False,True,True
