tri_selecao,n_acoes,retorno_medio,retorno_mediano,pct_positivo
2020Q1,15,32.85,21.49,100.0
2020Q2,15,-2.38,-3.2,26.67
2020Q3,15,13.54,10.83,93.33
2020Q4,15,17.1,-5.7,33.33
2021Q1,15,22.99,17.38,80.0
2021Q2,15,-8.31,-6.82,26.67
2021Q3,15,-0.0,-0.74,46.67
2021Q4,15,18.11,11.14,93.33
2022Q1,15,-13.5,-16.09,33.33
2022Q2,15,9.07,8.2,66.67
2022Q3,15,-1.01,-0.54,46.67
2022Q4,15,-2.19,-4.29,40.0
2023Q1,15,18.56,16.02,80.0
2023Q2,15,3.01,-0.04,46.67
2023Q3,15,8.94,11.72,73.33
2023Q4,15,-3.85,-5.25,40.0
2024Q1,15,-7.18,-7.57,33.33
2024Q2,15,9.45,4.63,86.67
2024Q3,15,-16.92,-14.93,0.0
2024Q4,15,10.39,11.15,73.33
2025Q1,15,16.16,20.55,80.0
2025Q2,15,11.71,13.2,80.0
2025Q3,15,11.71,11.92,73.33
