tri_selecao,tri_retorno,ticker,preco_compra,preco_venda,retorno_pct
2020Q1,2020Q2,ISAE4,11.26,12.56,11.5
2020Q1,2020Q2,SLCE3,6.24,6.49,3.96
2020Q1,2020Q2,WIZC3,5.7,7.33,28.72
2020Q1,2020Q2,TRIS3,3.85,6.51,69.05
2020Q1,2020Q2,BBSE3,14.89,16.34,9.74
2020Q1,2020Q2,ALOS3,20.51,22.01,7.33
2020Q1,2020Q2,YDUQ3,18.92,29.26,54.64
2020Q1,2020Q2,SYNE3,2.57,2.85,10.69
2020Q1,2020Q2,ALUP11,15.25,16.74,9.78
2020Q1,2020Q2,EGIE3,19.62,21.22,8.14
2020Q1,2020Q2,ENEV3,8.69,11.24,29.44
2020Q1,2020Q2,TAEE11,13.6,15.54,14.3
2020Q1,2020Q2,AGRO3,10.44,12.61,20.81
2020Q1,2020Q2,SMTO3,11.7,16.79,43.5
2020Q2,2020Q3,SLCE3,6.49,7.12,9.82
2020Q2,2020Q3,ISAE4,12.56,13.28,5.71
2020Q2,2020Q3,JHSF3,4.71,4.69,-0.49
2020Q2,2020Q3,HYPE3,26.4,23.85,-9.67
2020Q2,2020Q3,BRAP4,6.24,7.67,22.95
2020Q2,2020Q3,TRIS3,6.51,5.86,-9.97
2020Q2,2020Q3,CPLE3,3.91,3.74,-4.37
2020Q2,2020Q3,EGIE3,21.22,20.71,-2.38
2020Q2,2020Q3,ITSA4,4.78,4.41,-7.84
2020Q2,2020Q3,LREN3,27.92,26.53,-4.98
2020Q2,2020Q3,TAEE11,15.54,15.7,1.01
2020Q2,2020Q3,AGRO3,12.61,13.05,3.53
2020Q2,2020Q3,ALUP11,16.74,16.27,-2.8
2020Q3,2020Q4,DEXP3,4.31,4.95,14.9
2020Q3,2020Q4,WIZC3,6.35,5.56,-12.51
2020Q3,2020Q4,LAVV3,4.41,5.06,14.88
2020Q3,2020Q4,CYRE3,16.63,21.1,26.85
2020Q3,2020Q4,BRAP4,7.67,11.82,54.03
2020Q3,2020Q4,CURY3,6.77,6.52,-3.7
2020Q3,2020Q4,BBSE3,14.99,18.31,22.08
2020Q3,2020Q4,VALE3,32.79,50.54,54.13
2020Q3,2020Q4,JHSF3,4.69,5.28,12.58
2020Q3,2020Q4,ITSA4,4.41,5.88,33.58
2020Q3,2020Q4,AGRO3,13.05,15.53,18.99
2020Q3,2020Q4,TRIS3,5.86,6.69,14.06
2020Q3,2020Q4,CSMG3,8.52,10.33,21.25
2020Q3,2020Q4,PLPL3,6.9,5.67,-17.84
2020Q3,2020Q4,EZTC3,21.89,26.65,21.74
2020Q4,2021Q1,ISAE4,17.3,16.75,-3.17
2020Q4,2021Q1,WIZC3,5.56,5.21,-6.34
2020Q4,2021Q1,AURA33,14.22,13.77,-3.13
2020Q4,2021Q1,DEXP3,4.95,4.7,-5.11
2020Q4,2021Q1,CYRE3,21.1,18.55,-12.06
2020Q4,2021Q1,JHSF3,5.28,4.7,-10.88
2020Q4,2021Q1,SLCE3,7.73,12.57,62.62
2020Q4,2021Q1,PRIO3,14.02,18.43,31.47
2020Q4,2021Q1,LAVV3,5.06,4.28,-15.45
2020Q4,2021Q1,BRAP4,11.82,12.67,7.22
2020Q4,2021Q1,SHUL4,2.4,2.72,13.24
2020Q4,2021Q1,CURY3,6.52,6.11,-6.35
2020Q4,2021Q1,CPLE3,4.53,4.71,4.03
2020Q4,2021Q1,SEER3,14.3,11.34,-20.7
2020Q4,2021Q1,ROMI3,8.25,16.0,94.07
2021Q1,2021Q2,ISAE4,16.75,17.11,2.14
2021Q1,2021Q2,BRAP4,12.67,15.27,20.47
2021Q1,2021Q2,SLCE3,12.57,14.75,17.38
2021Q1,2021Q2,UNIP6,29.69,43.55,46.71
2021Q1,2021Q2,CSNA3,24.45,28.76,17.63
2021Q1,2021Q2,DEXP3,4.7,9.43,100.77
2021Q1,2021Q2,CMIN3,4.81,4.82,0.17
2021Q1,2021Q2,VALE3,56.62,68.4,20.8
2021Q1,2021Q2,RANI3,3.63,6.21,71.14
2021Q1,2021Q2,GOAU4,5.85,6.16,5.24
2021Q1,2021Q2,USIM5,13.81,15.52,12.37
2021Q1,2021Q2,JHSF3,4.7,5.07,7.77
2021Q1,2021Q2,GGBR4,16.06,15.99,-0.41
2021Q1,2021Q2,CURY3,6.11,6.68,9.43
2021Q1,2021Q2,TRIS3,5.37,5.45,1.63
2021Q2,2021Q3,BRAP4,15.27,12.67,-17.01
2021Q2,2021Q3,CSNA3,28.76,19.31,-32.87
2021Q2,2021Q3,CMIN3,4.82,3.48,-27.87
2021Q2,2021Q3,EUCA4,7.3,6.57,-10.1
2021Q2,2021Q3,LAVV3,4.63,3.57,-22.77
2021Q2,2021Q3,SLCE3,14.75,13.11,-11.15
2021Q2,2021Q3,USIM5,15.52,13.1,-15.6
2021Q2,2021Q3,GOAU4,6.16,5.64,-8.36
2021Q2,2021Q3,DEXP3,9.43,7.82,-17.09
2021Q2,2021Q3,VALE3,68.4,46.96,-31.35
2021Q2,2021Q3,UNIP6,43.55,37.33,-14.29
2021Q2,2021Q3,AURA33,17.24,14.42,-16.35
2021Q2,2021Q3,WIZC3,13.12,8.55,-34.82
2021Q2,2021Q3,JHSF3,5.07,4.13,-18.57
2021Q2,2021Q3,CURY3,6.68,4.7,-29.59
2021Q3,2021Q4,BRAP4,12.67,11.63,-8.22
2021Q3,2021Q4,CSNA3,19.31,16.9,-12.46
2021Q3,2021Q4,CMIN3,3.48,3.78,8.79
2021Q3,2021Q4,USIM5,13.1,13.15,0.36
2021Q3,2021Q4,LAVV3,3.57,3.18,-11.13
2021Q3,2021Q4,WIZC3,8.55,5.96,-30.32
2021Q3,2021Q4,GOAU4,5.64,6.08,7.69
2021Q3,2021Q4,LPSB3,2.18,1.84,-15.81
2021Q3,2021Q4,UNIP6,37.33,50.54,35.39
2021Q3,2021Q4,GGBR4,14.9,16.28,9.26
2021Q3,2021Q4,RANI3,4.21,4.78,13.65
2021Q3,2021Q4,VALE3,46.96,53.54,14.02
2021Q3,2021Q4,CPLE3,4.59,4.56,-0.74
2021Q3,2021Q4,SLCE3,13.11,12.95,-1.25
2021Q3,2021Q4,CURY3,4.7,4.52,-4.02
2021Q4,2022Q1,BRAP4,11.63,19.45,67.22
2021Q4,2022Q1,SYNE3,1.46,2.77,89.56
2021Q4,2022Q1,FESA4,8.76,8.6,-1.83
2021Q4,2022Q1,LEVE3,14.75,12.5,-15.22
2021Q4,2022Q1,AZEV4,4.29,3.44,-19.77
2021Q4,2022Q1,UNIP6,50.54,53.55,5.96
2021Q4,2022Q1,VALE3,53.54,65.0,21.4
2021Q4,2022Q1,USIM5,13.15,12.22,-7.05
2021Q4,2022Q1,CMIN3,3.78,3.33,-11.83
2021Q4,2022Q1,LAVV3,3.18,3.13,-1.53
2021Q4,2022Q1,GOAU4,6.08,6.55,7.73
2021Q4,2022Q1,LPSB3,1.84,3.41,85.59
2021Q4,2022Q1,CURY3,4.52,5.07,12.17
2021Q4,2022Q1,CSNA3,16.9,17.63,4.33
2021Q4,2022Q1,GGBR4,16.28,18.4,13.02
2022Q1,2022Q2,BRAP4,19.45,15.68,-19.36
2022Q1,2022Q2,SLCE3,15.75,14.63,-7.13
2022Q1,2022Q2,LEVE3,12.5,13.09,4.75
2022Q1,2022Q2,UNIP6,53.55,53.1,-0.85
2022Q1,2022Q2,AURA33,11.77,8.96,-23.85
2022Q1,2022Q2,VALE3,65.0,54.05,-16.84
2022Q1,2022Q2,PRIO3,23.77,21.95,-7.64
2022Q1,2022Q2,GOAU4,6.55,5.28,-19.44
2022Q1,2022Q2,RECV3,15.65,17.11,9.29
2022Q1,2022Q2,CURY3,5.07,4.43,-12.64
2022Q1,2022Q2,AGRO3,21.77,17.7,-18.71
2022Q1,2022Q2,CMIN3,3.33,2.34,-29.78
2022Q1,2022Q2,EZTC3,11.8,9.38,-20.47
2022Q1,2022Q2,CMIG4,4.93,4.86,-1.34
2022Q1,2022Q2,TASA4,18.63,12.89,-30.77
2022Q2,2022Q3,FESA4,8.71,9.9,13.67
2022Q2,2022Q3,BRAP4,15.68,14.76,-5.86
2022Q2,2022Q3,UNIP6,53.1,59.9,12.82
2022Q2,2022Q3,KEPL3,5.27,7.85,48.96
2022Q2,2022Q3,SLCE3,14.63,14.35,-1.9
2022Q2,2022Q3,VALE3,54.05,53.5,-1.03
2022Q2,2022Q3,RECV3,17.11,16.72,-2.26
2022Q2,2022Q3,GOAU4,5.28,6.05,14.72
2022Q2,2022Q3,CURY3,4.43,8.56,93.33
2022Q2,2022Q3,CMIN3,2.34,2.01,-14.25
2022Q2,2022Q3,PETR4,11.67,15.29,31.03
2022Q2,2022Q3,GGBR4,13.72,15.43,12.45
2022Q2,2022Q3,PRIO3,21.95,27.49,25.19
2022Q2,2022Q3,WIZC3,6.3,6.35,0.89
2022Q2,2022Q3,CXSE3,4.97,6.1,22.8
2022Q3,2022Q4,FESA4,9.9,10.36,4.64
2022Q3,2022Q4,BRAP4,14.76,19.61,32.86
2022Q3,2022Q4,KEPL3,7.85,7.65,-2.51
2022Q3,2022Q4,LEVE3,13.13,17.37,32.29
2022Q3,2022Q4,VALE3,53.5,66.0,23.38
2022Q3,2022Q4,UNIP6,59.9,57.53,-3.96
2022Q3,2022Q4,GOAU4,6.05,7.71,27.38
2022Q3,2022Q4,SLCE3,14.35,15.55,8.36
2022Q3,2022Q4,RECV3,16.72,22.11,32.2
2022Q3,2022Q4,PETR4,15.29,13.45,-12.04
2022Q3,2022Q4,GGBR4,15.43,19.97,29.42
2022Q3,2022Q4,CMIN3,2.01,2.78,38.38
2022Q3,2022Q4,TASA4,13.0,10.61,-18.4
2022Q3,2022Q4,CURY3,8.56,9.11,6.48
2022Q3,2022Q4,WIZC3,6.35,5.6,-11.93
2022Q4,2023Q1,FESA4,10.36,10.64,2.66
2022Q4,2023Q1,PETR4,13.45,12.88,-4.29
2022Q4,2023Q1,BRAP4,19.61,17.8,-9.23
2022Q4,2023Q1,UNIP6,57.53,45.79,-20.41
2022Q4,2023Q1,VALE3,66.0,59.83,-9.36
2022Q4,2023Q1,LEVE3,17.37,17.71,1.95
2022Q4,2023Q1,SLCE3,15.55,15.22,-2.08
2022Q4,2023Q1,PRIO3,37.15,31.14,-16.18
2022Q4,2023Q1,RECV3,22.11,13.84,-37.4
2022Q4,2023Q1,GOAU4,7.71,7.03,-8.79
2022Q4,2023Q1,TASA4,10.61,12.86,21.2
2022Q4,2023Q1,WIZC3,5.6,4.69,-16.12
2022Q4,2023Q1,CURY3,9.11,9.38,2.97
2022Q4,2023Q1,CXSE3,6.23,6.56,5.39
2022Q4,2023Q1,BLAU3,17.51,16.14,-7.81
2023Q1,2023Q2,PETR4,12.88,18.26,41.85
2023Q1,2023Q2,BRAP4,17.8,15.52,-12.8
2023Q1,2023Q2,FESA4,10.64,9.73,-8.58
2023Q1,2023Q2,LEVE3,17.71,30.3,71.06
2023Q1,2023Q2,KEPL3,6.74,7.56,12.25
2023Q1,2023Q2,SLCE3,15.22,14.94,-1.89
2023Q1,2023Q2,SHUL4,3.44,5.02,46.08
2023Q1,2023Q2,UNIP6,45.79,53.22,16.22
2023Q1,2023Q2,CXSE3,6.56,8.1,23.39
2023Q1,2023Q2,GOAU4,7.03,7.28,3.49
2023Q1,2023Q2,CMIG4,5.76,6.65,15.48
2023Q1,2023Q2,BBSE3,23.75,22.48,-5.35
2023Q1,2023Q2,GGBR4,18.05,18.41,2.0
2023Q1,2023Q2,ABEV3,12.12,13.03,7.54
2023Q1,2023Q2,VALE3,59.83,48.9,-18.26
2023Q2,2023Q3,FESA4,9.73,10.28,5.69
2023Q2,2023Q3,PETR4,18.26,23.7,29.75
2023Q2,2023Q3,UNIP6,53.22,54.49,2.39
2023Q2,2023Q3,BRAP4,15.52,15.88,2.3
2023Q2,2023Q3,SHUL4,5.02,5.98,19.15
2023Q2,2023Q3,SLCE3,14.94,15.39,3.06
2023Q2,2023Q3,LEVE3,30.3,31.42,3.67
2023Q2,2023Q3,GOAU4,7.28,7.02,-3.58
2023Q2,2023Q3,LAVV3,5.0,5.4,7.99
2023Q2,2023Q3,CXSE3,8.1,8.78,8.35
2023Q2,2023Q3,CURY3,11.79,11.95,1.31
2023Q2,2023Q3,CMIG4,6.65,6.52,-2.03
2023Q2,2023Q3,DIRR3,4.9,4.78,-2.39
2023Q2,2023Q3,BBSE3,22.48,23.98,6.7
2023Q2,2023Q3,VULC3,10.82,12.47,15.17
2023Q3,2023Q4,UNIP6,54.49,51.51,-5.48
2023Q3,2023Q4,FESA4,10.28,9.6,-6.65
2023Q3,2023Q4,PETR4,23.7,26.48,11.72
2023Q3,2023Q4,SHUL4,5.98,5.63,-5.83
2023Q3,2023Q4,BRAP4,15.88,19.21,20.96
2023Q3,2023Q4,CXSE3,8.78,10.6,20.8
2023Q3,2023Q4,SLCE3,15.39,14.71,-4.44
2023Q3,2023Q4,VULC3,12.47,13.03,4.51
2023Q3,2023Q4,DIRR3,4.78,5.58,16.74
2023Q3,2023Q4,CMIG4,6.52,6.12,-6.12
2023Q3,2023Q4,CURY3,11.95,13.65,14.28
2023Q3,2023Q4,CMIN3,3.66,6.11,67.29
2023Q3,2023Q4,LAVV3,5.4,6.35,17.59
2023Q3,2023Q4,VALE3,53.02,62.43,17.76
2023Q3,2023Q4,ABEV3,11.08,11.61,4.73
2023Q4,2024Q1,ALOS3,21.64,19.5,-9.91
2023Q4,2024Q1,KEPL3,9.08,8.78,-3.29
2023Q4,2024Q1,SHUL4,5.63,5.41,-3.84
2023Q4,2024Q1,BRAP4,19.21,15.41,-19.76
2023Q4,2024Q1,PETR4,26.48,26.56,0.32
2023Q4,2024Q1,ISAE4,20.52,20.98,2.25
2023Q4,2024Q1,CMIG4,6.12,7.06,15.45
2023Q4,2024Q1,VULC3,13.03,12.17,-6.56
2023Q4,2024Q1,BBSE3,25.86,25.94,0.31
2023Q4,2024Q1,FESA4,9.6,7.38,-23.11
2023Q4,2024Q1,WIZC3,6.26,6.25,-0.14
2023Q4,2024Q1,LAVV3,6.35,7.11,11.99
2023Q4,2024Q1,CXSE3,10.6,12.84,21.09
2023Q4,2024Q1,LEVE3,28.11,27.63,-1.71
2023Q4,2024Q1,PRIO3,45.98,48.74,6.01
2024Q1,2024Q2,VLID3,14.66,12.53,-14.57
2024Q1,2024Q2,KEPL3,8.78,8.28,-5.72
2024Q1,2024Q2,ISAE4,20.98,22.2,5.8
2024Q1,2024Q2,WIZC3,6.25,5.1,-18.36
2024Q1,2024Q2,SHUL4,5.41,4.92,-9.05
2024Q1,2024Q2,DIRR3,6.54,6.79,3.75
2024Q1,2024Q2,LEVE3,27.63,27.18,-1.62
2024Q1,2024Q2,POMO4,5.29,4.64,-12.29
2024Q1,2024Q2,BBSE3,25.94,26.27,1.26
2024Q1,2024Q2,CURY3,15.77,17.05,8.14
2024Q1,2024Q2,VULC3,12.17,10.89,-10.53
