tri_selecao,tri_retorno,ticker,preco_compra,preco_venda,retorno_pct
2020Q1,2020Q2,CPLE3,3.77,3.91,3.53
2020Q1,2020Q2,CMIG4,2.13,2.63,23.68
2020Q1,2020Q2,PCAR3,7.74,8.81,13.75
2020Q1,2020Q2,PSSA3,15.64,18.36,17.39
2020Q1,2020Q2,MYPK3,8.58,10.52,22.69
2020Q1,2020Q2,SLCE3,6.24,6.49,3.96
2020Q1,2020Q2,CSAN3,11.76,15.51,31.92
2020Q1,2020Q2,RADL3,17.76,19.33,8.82
2020Q1,2020Q2,WIZC3,5.7,7.33,28.72
2020Q1,2020Q2,FLRY3,14.21,17.26,21.49
2020Q1,2020Q2,HYPE3,22.18,26.08,17.57
2020Q1,2020Q2,BHIA3,115.49,334.88,189.96
2020Q1,2020Q2,FESA4,2.19,3.22,47.26
2020Q1,2020Q2,SHUL4,1.24,1.84,47.93
2020Q1,2020Q2,CPFE3,17.2,19.62,14.1
2020Q2,2020Q3,CPLE3,3.91,3.74,-4.37
2020Q2,2020Q3,CMIG4,2.63,2.57,-2.47
2020Q2,2020Q3,PSSA3,18.36,17.77,-3.2
2020Q2,2020Q3,PCAR3,8.81,8.65,-1.75
2020Q2,2020Q3,CPFE3,19.62,18.66,-4.92
2020Q2,2020Q3,HYPE3,26.08,23.56,-9.67
2020Q2,2020Q3,CSMG3,10.49,8.46,-19.29
2020Q2,2020Q3,SLCE3,6.49,7.12,9.82
2020Q2,2020Q3,CSAN3,15.51,15.26,-1.6
2020Q2,2020Q3,TIMS3,9.07,8.34,-8.03
2020Q2,2020Q3,TAEE11,15.54,15.7,1.01
2020Q2,2020Q3,LREN3,27.48,26.11,-4.98
2020Q2,2020Q3,BHIA3,334.88,379.5,13.32
2020Q2,2020Q3,SYNE3,2.85,2.42,-14.96
2020Q2,2020Q3,SHUL4,1.84,2.12,15.38
2020Q3,2020Q4,CMIG4,2.57,3.73,45.25
2020Q3,2020Q4,PSSA3,17.77,18.27,2.77
2020Q3,2020Q4,PCAR3,8.65,9.31,7.61
2020Q3,2020Q4,HYPE3,23.56,27.31,15.94
2020Q3,2020Q4,CSMG3,8.46,10.26,21.25
2020Q3,2020Q4,SHUL4,2.12,2.36,11.43
2020Q3,2020Q4,BHIA3,379.5,353.47,-6.86
2020Q3,2020Q4,CPFE3,18.66,22.03,18.11
2020Q3,2020Q4,SLCE3,7.12,7.73,8.51
2020Q3,2020Q4,FLRY3,18.59,18.97,2.04
2020Q3,2020Q4,TOTS3,24.92,26.41,5.98
2020Q3,2020Q4,CYRE3,16.63,21.1,26.85
2020Q3,2020Q4,TAEE11,15.7,19.55,24.54
2020Q3,2020Q4,EGIE3,20.71,22.55,8.9
2020Q3,2020Q4,CSAN3,15.26,16.92,10.83
2020Q4,2021Q1,PCAR3,9.31,31.09,233.89
2020Q4,2021Q1,BHIA3,353.47,264.01,-25.31
2020Q4,2021Q1,SHUL4,2.36,2.68,13.24
2020Q4,2021Q1,CSMG3,10.26,9.45,-7.93
2020Q4,2021Q1,HYPE3,27.31,25.75,-5.7
2020Q4,2021Q1,PSSA3,18.27,17.51,-4.12
2020Q4,2021Q1,CPFE3,22.03,20.59,-6.54
2020Q4,2021Q1,ECOR3,11.69,10.25,-12.34
2020Q4,2021Q1,CMIG4,3.73,3.4,-8.72
2020Q4,2021Q1,VBBR3,14.23,14.47,1.71
2020Q4,2021Q1,CPLE3,4.53,4.71,4.03
2020Q4,2021Q1,LREN3,28.73,28.15,-2.02
2020Q4,2021Q1,GRND3,3.95,3.72,-5.73
2020Q4,2021Q1,CYRE3,21.1,18.55,-12.06
2020Q4,2021Q1,ROMI3,8.17,15.85,94.07
2021Q1,2021Q2,BHIA3,264.01,345.38,30.82
2021Q1,2021Q2,GGBR4,16.06,15.99,-0.41
2021Q1,2021Q2,LOGG3,17.55,19.68,12.11
2021Q1,2021Q2,SLCE3,12.57,14.75,17.38
