tri_selecao,n_acoes,retorno_medio,retorno_mediano,pct_positivo
2020Q1,14,22.97,12.9,100.0
2020Q2,13,0.04,-2.38,38.46
2020Q3,15,18.33,18.99,80.0
2020Q4,15,8.63,-3.17,40.0
2021Q1,15,22.22,12.37,93.33
2021Q2,15,-20.52,-17.09,0.0
2021Q3,15,0.35,-0.74,46.67
2021Q4,15,16.65,5.96,60.0
2022Q1,15,-12.99,-16.84,13.33
2022Q2,15,16.7,12.82,66.67
2022Q3,15,12.44,8.36,66.67
2022Q4,15,-6.5,-7.81,33.33
2023Q1,15,12.83,7.54,66.67
2023Q2,15,6.5,3.67,80.0
2023Q3,15,11.19,11.72,66.67
2023Q4,15,-0.73,-0.14,46.67
2024Q1,15,-4.26,-5.72,40.0
2024Q2,15,12.84,8.54,80.0
2024Q3,15,-4.34,-3.47,26.67
2024Q4,15,12.62,8.08,66.67
2025Q1,15,20.24,17.16,86.67
2025Q2,15,9.86,8.73,73.33
2025Q3,15,5.19,4.09,66.67
