SETOR_ATIV,DENOM_CIA,ticker,DT_FIM_EXERC,roe,margem_liquida,cagr_lucro_5a,dl_ebitda,p_l,rank_magic
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2019-03-31,97.01,36.68,,-0.33423988761435935,3.19,3.0
Energia Elétrica,RIO PARANAPANEMA ENERGIA S.A.,GEPA3,2019-03-31,20.65,23.51,,0.5043970013321608,3.84,9.0
Emp. Adm. Part. - Energia Elétrica,ENERGISA TRANSMISSÃO DE ENERGIA S/A,AFLT3,2019-03-31,31.6,21.74,,0.9446999076638966,3.03,9.0
"Agricultura (Açúcar, Álcool e Cana)",BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,AGRO3,2019-03-31,21.02,38.14,,0.9789169139465876,4.72,13.0
Educação,SER EDUCACIONAL S.A.,SEER3,2019-03-31,14.7,18.44,,-1.3160093909835378,10.68,14.0
Emp. Adm. Part. - Educação,YDUQS PARTICIPACOES S.A.,YDUQ3,2019-03-31,33.96,25.82,,0.2742195994053004,6.19,16.0
Energia Elétrica,LIGHT ENERGIA S.A.,ISAE4,2019-03-31,141.43,53.19,,0.2785847987607218,13.15,18.0
Seguradoras e Corretoras,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,QUAL3,2019-03-31,15.81,20.76,,-0.039969088930838406,10.32,21.0
Emp. Adm. Part. - Sem Setor Principal,CIA PARTICIPACOES ALIANCA DA BAHIA,PEAB4,2019-03-31,10.2,14.69,,-3.416843747924829,6.99,21.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",TRISUL S.A.,TRIS3,2019-03-31,18.26,16.0,,1.0544495050045,5.06,21.0
"Agricultura (Açúcar, Álcool e Cana)",SLC AGRICOLA S.A.,SLCE3,2019-03-31,15.38,14.55,,1.5264297823838167,6.0,21.0
Energia Elétrica,CIA ENERGETICA DE MINAS GERAIS - CEMIG,CMIG4,2019-03-31,19.05,13.48,,2.1855003722455364,3.06,21.0
Emp. Adm. Part. - Intermediação Financeira,ITAÚSA S.A.,ITSA4,2019-03-31,18.75,233.52,,0.08217027215631542,6.23,22.0
Energia Elétrica,ENGIE BRASIL ENERGIA S.A.,EGIE3,2019-03-31,32.84,24.18,,1.8262032771792944,10.93,22.0
Farmacêutico e Higiene,HYPERA S.A.,HYPE3,2019-03-31,15.25,83.73,,-0.39752003109303996,11.67,27.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2019-06-30,113.55,34.66,,-0.1602880352307555,5.43,4.0
Energia Elétrica,RIO PARANAPANEMA ENERGIA S.A.,GEPA3,2019-06-30,18.23,22.62,,0.3634516831656155,4.87,6.0
Emp. Adm. Part. - Energia Elétrica,ALUPAR INVESTIMENTO S/A,ALUP11,2019-06-30,25.25,45.41,,1.1458043156329292,4.62,11.0
Educação,SER EDUCACIONAL S.A.,SEER3,2019-06-30,17.36,18.08,,-0.5044794900089709,13.07,12.0
Emp. Adm. Part. - Educação,YDUQS PARTICIPACOES S.A.,YDUQ3,2019-06-30,28.72,23.05,,0.3755909157677594,8.8,12.0
"Agricultura (Açúcar, Álcool e Cana)",BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,AGRO3,2019-06-30,20.11,31.88,,0.9353715575792793,5.36,13.0
Emp. Adm. Part. - Telecomunicações,TIM PARTICIPACOES S.A.,TIMS3,2019-06-30,19.53,25.34,,0.10740503613401607,4.24,13.0
Emp. Adm. Part. - Intermediação Financeira,ITAÚSA S.A.,ITSA4,2019-06-30,17.99,224.93,,0.09680025856496445,6.56,14.0
Seguradoras e Corretoras,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,QUAL3,2019-06-30,17.41,21.47,,0.003759476444132804,12.96,15.0
"Construção Civil, Mat. Constr. e Decoração",CONSTRUTORA TENDA S.A.,TEND3,2019-06-30,19.71,13.74,,-0.45056287104683435,11.15,16.0
Emp. Adm. Part. - Energia Elétrica,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,TAEE11,2019-06-30,25.06,71.91,,2.7764098196981264,3.92,24.0
"Máquinas, Equipamentos, Veículos e Peças",ROMI S.A.,ROMI3,2019-06-30,22.16,28.74,,1.9403372879694087,3.14,24.0
Energia Elétrica,ENGIE BRASIL ENERGIA S.A.,EGIE3,2019-06-30,26.43,21.06,,2.638815161220948,14.14,27.0
Farmacêutico e Higiene,HYPERA S.A.,HYPE3,2019-06-30,15.38,48.5,,-0.5018299465193745,12.37,27.0
Metalurgia e Siderurgia,CIA SIDERURGICA NACIONAL,CSNA3,2019-06-30,32.04,15.35,,1.174542870324704,3.49,27.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2019-09-30,89.66,34.67,,-0.30303877809614044,4.78,2.0
Energia Elétrica,RIO PARANAPANEMA ENERGIA S.A.,GEPA3,2019-09-30,15.68,20.45,,0.2305147645171414,5.48,8.0
Serviços Transporte e Logística,TEGMA GESTAO LOGISTICA S.A.,TGMA3,2019-09-30,34.74,15.53,,0.3902506330757743,6.88,10.0
Emp. Adm. Part. - Energia Elétrica,ENERGISA TRANSMISSÃO DE ENERGIA S/A,AFLT3,2019-09-30,35.1,20.52,,1.6198921416420915,5.35,10.0
Emp. Adm. Part. - Energia Elétrica,ALUPAR INVESTIMENTO S/A,ALUP11,2019-09-30,22.99,40.12,,1.430628726570747,4.43,11.0
Educação,SER EDUCACIONAL S.A.,SEER3,2019-09-30,14.06,15.01,,-0.5250544418256607,14.85,13.0
Emp. Adm. Part. - Telecomunicações,TIM PARTICIPACOES S.A.,TIMS3,2019-09-30,16.57,21.14,,0.05446000012353559,4.77,14.0
Emp. Adm. Part. - Intermediação Financeira,ITAÚSA S.A.,ITSA4,2019-09-30,16.77,196.99,,0.1117980714690868,7.99,17.0
Emp. Adm. Part. - Educação,YDUQS PARTICIPACOES S.A.,YDUQ3,2019-09-30,24.56,21.6,,0.403940465462065,11.19,18.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",TRISUL S.A.,TRIS3,2019-09-30,12.61,17.66,,-1.0375534554875765,10.84,19.0
Metalurgia e Siderurgia,CIA FERRO LIGAS DA BAHIA - FERBASA,FESA4,2019-09-30,15.91,22.41,,0.7056024766198556,3.41,20.0
Energia Elétrica,ENGIE BRASIL ENERGIA S.A.,EGIE3,2019-09-30,29.82,24.16,,2.3826227596198533,11.16,22.0
"Máquinas, Equipamentos, Veículos e Peças",ROMI S.A.,ROMI3,2019-09-30,19.56,20.71,,1.3781273674463848,3.44,23.0
Têxtil e Vestuário,GRENDENE S.A.,GRND3,2019-09-30,10.59,20.27,,-4.872469695710504,10.95,26.0
"Agricultura (Açúcar, Álcool e Cana)",BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,AGRO3,2019-09-30,17.29,18.49,,1.138308428671492,5.93,27.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2019-12-31,113.61,32.8,,-0.12327237530821473,7.05,2.0
Extração Mineral,CSN MINERAÇÃO S.A.,CMIN3,2019-12-31,39.16,31.99,,0.17443989929693324,6.93,6.0
Energia Elétrica,RIO PARANAPANEMA ENERGIA S.A.,GEPA3,2019-12-31,15.89,17.82,,0.3646289321351623,7.25,9.0
Têxtil e Vestuário,C&A MODAS S.A.,CEAB3,2019-12-31,35.48,18.39,,0.7302916758974569,4.5,13.0
Emp. Adm. Part. - Intermediação Financeira,ITAÚSA S.A.,ITSA4,2019-12-31,18.11,211.04,,0.04356751824817518,6.57,16.0
Serviços Transporte e Logística,TEGMA GESTAO LOGISTICA S.A.,TGMA3,2019-12-31,33.73,14.4,,0.5004797397121562,8.91,16.0
"Construção Civil, Mat. Constr. e Decoração",CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,2019-12-31,56.09,20.02,,-0.07666544384298944,10.4,17.0
Emp. Adm. Part. - Telecomunicações,TIM PARTICIPACOES S.A.,TIMS3,2019-12-31,16.15,20.84,,-0.08779505404376707,7.06,18.0
"Máquinas, Equipamentos, Veículos e Peças",WHIRLPOOL S.A.,WHRL3,2019-12-31,58.84,22.94,,-1.152051444575308,4.47,21.0
Emp. Adm. Part. - Energia Elétrica,ALUPAR INVESTIMENTO S/A,ALUP11,2019-12-31,21.77,35.74,,1.819607646886107,5.67,21.0
"Construção Civil, Mat. Constr. e Decoração",HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.,HBRE3,2019-12-31,20.11,409.85,,1.83187588498905,5.59,23.0
Energia Elétrica,ENGIE BRASIL ENERGIA S.A.,EGIE3,2019-12-31,33.02,23.57,,2.1117270402836934,12.97,26.0
"Saneamento, Serv. Água e Gás",CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,CSMG3,2019-12-31,11.19,14.63,,1.1950225035203972,5.96,26.0
"Construção Civil, Mat. Constr. e Decoração",CONSTRUTORA TENDA S.A.,TEND3,2019-12-31,19.56,13.56,,-0.6204335863465898,14.89,27.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",JHSF PARTICIPACOES S.A.,JHSF3,2019-12-31,10.69,51.3,,0.9867275099705859,10.73,28.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2020-03-31,82.18,30.07,,-0.3305742011715313,4.94,4.0
Emp. Adm. Part. - Energia Elétrica,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,TAEE11,2020-03-31,27.46,52.75,,2.440372358125191,3.44,7.0
"Agricultura (Açúcar, Álcool e Cana)",SAO MARTINHO S.A.,SMTO3,2020-03-31,19.09,17.3,,1.6050399996063653,7.64,9.0
Emp. Adm. Part. - Educação,YDUQS PARTICIPACOES S.A.,YDUQ3,2020-03-31,20.5,18.18,,0.5880161879106146,10.1,10.0
"Agricultura (Açúcar, Álcool e Cana)",SLC AGRICOLA S.A.,SLCE3,2020-03-31,21.58,16.87,,1.3292137488740265,5.24,10.0
Emp. Adm. Part. - Energia Elétrica,ALUPAR INVESTIMENTO S/A,ALUP11,2020-03-31,19.31,31.02,,2.137305990514363,4.64,12.0
Energia Elétrica,ENGIE BRASIL ENERGIA S.A.,EGIE3,2020-03-31,30.35,19.73,,2.390961452408267,11.0,13.0
"Construção Civil, Mat. Constr. e Decoração",CONSTRUTORA ADOLPHO LINDENBERG S.A.,CALI3,2020-03-31,205.93,50.44,,-0.024929775280898875,12.79,14.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",TRISUL S.A.,TRIS3,2020-03-31,11.92,19.6,,-0.6484799341004454,7.52,15.0
Emp. Adm. Part. - Intermediação Financeira,ITAÚSA S.A.,ITSA4,2020-03-31,7.6,89.93,,0.14054726368159204,12.05,19.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,MULT3,2020-03-31,12.24,55.42,,1.6034737405219333,11.68,22.0
Energia Elétrica,CPFL GERACAO DE ENERGIA S.A.,CBEE3,2020-03-31,12.45,25.82,,2.1867797151816566,9.52,22.0
"Agricultura (Açúcar, Álcool e Cana)",BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,AGRO3,2020-03-31,8.93,20.54,,2.5125754897628516,12.47,25.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",HOUSI S.A.,HOSI11,2020-06-30,27.29,98.37,,-0.008856872933396315,3.75,10.0
Extração Mineral,CSN MINERAÇÃO S.A.,CMIN3,2020-06-30,31.68,28.5,,-0.07704313176400529,7.74,10.0
Educação,SER EDUCACIONAL S.A.,SEER3,2020-06-30,16.1,15.95,,-0.0732445469533355,8.27,10.0
Energia Elétrica,CIA PARANAENSE DE ENERGIA - COPEL,CPLE3,2020-06-30,21.43,23.87,,1.0394576711537273,3.03,13.0
"Construção Civil, Mat. Constr. e Decoração",CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,2020-06-30,39.08,16.66,,-0.4615538379530917,12.94,14.0
"Construção Civil, Mat. Constr. e Decoração",PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,2020-06-30,79.72,14.62,,0.6298411998235554,12.09,14.0
Energia Elétrica,RIO PARANAPANEMA ENERGIA S.A.,GEPA3,2020-06-30,14.01,19.83,,0.023674667103629088,7.06,14.0
Seguradoras e Corretoras,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,QUAL3,2020-06-30,30.89,26.19,,0.3271887434940778,13.74,17.0
Seguradoras e Corretoras,PORTO SEGURO S.A.,PSSA3,2020-06-30,30.83,15.69,,-5.6130823883268945,4.93,17.0
Energia Elétrica,ENGIE BRASIL ENERGIA S.A.,EGIE3,2020-06-30,41.2,28.5,,1.8281122616398804,8.68,18.0
"Agricultura (Açúcar, Álcool e Cana)",BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,AGRO3,2020-06-30,10.66,16.95,,2.2064952590487814,10.54,18.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELK3,2020-06-30,18.23,15.06,,-0.039174826844996416,6.71,20.0
