date,ibov
2010-01-01,65401.77
2010-02-01,66503.27
2010-03-01,70371.54
2010-04-01,67529.73
2010-05-01,63046.51
2010-06-01,60935.9
2010-07-01,67515.4
2010-08-01,65145.45
2010-09-01,69429.78
2010-10-01,70673.3
2010-11-01,67705.4
2010-12-01,69304.81
2011-01-01,66574.88
2011-02-01,67383.22
2011-03-01,68586.7
2011-04-01,66132.86
2011-05-01,64620.08
2011-06-01,62403.64
2011-07-01,58823.45
2011-08-01,56495.12
2011-09-01,52324.42
2011-10-01,58338.39
2011-11-01,56874.98
2011-12-01,56754.08
2012-01-01,63072.31
2012-02-01,65811.73
2012-03-01,64510.97
2012-04-01,61820.26
2012-05-01,54490.41
2012-06-01,54354.63
2012-07-01,56097.05
2012-08-01,57061.45
2012-09-01,59175.8
2012-10-01,57068.18
2012-11-01,57474.57
2012-12-01,60952.08
2013-01-01,59761.49
2013-02-01,57424.29
2013-03-01,56352.09
2013-04-01,55910.37
2013-05-01,53506.08
2013-06-01,47457.13
2013-07-01,48234.49
2013-08-01,50011.75
2013-09-01,52338.19
2013-10-01,54256.2
2013-11-01,52482.49
2013-12-01,51507.16
2014-01-01,47638.99
2014-02-01,47094.4
2014-03-01,50414.92
2014-04-01,51626.69
2014-05-01,51239.34
2014-06-01,53168.22
2014-07-01,55829.41
2014-08-01,61288.15
2014-09-01,54115.98
2014-10-01,54628.6
2014-11-01,54724.0
2014-12-01,50007.41
2015-01-01,46907.68
2015-02-01,51583.09
2015-03-01,51150.16
2015-04-01,56229.38
2015-05-01,52760.47
2015-06-01,53080.88
2015-07-01,50864.77
2015-08-01,46625.52
2015-09-01,45059.34
2015-10-01,45868.81
2015-11-01,45120.36
2015-12-01,43349.96
2016-01-01,40405.99
2016-02-01,42793.86
2016-03-01,50055.27
2016-04-01,53910.5
2016-05-01,48471.7
2016-06-01,51526.92
2016-07-01,57308.2
2016-08-01,57901.1
2016-09-01,58367.04
2016-10-01,64924.51
2016-11-01,61906.35
2016-12-01,60227.28
2017-01-01,64670.78
2017-02-01,66662.1
2017-03-01,64984.06
2017-04-01,65403.24
2017-05-01,62711.47
2017-06-01,62899.97
2017-07-01,65920.36
2017-08-01,70835.05
2017-09-01,74293.5
2017-10-01,74308.49
2017-11-01,71970.99
2017-12-01,76402.08
2018-01-01,84912.7
2018-02-01,85353.6
2018-03-01,85365.56
2018-04-01,86115.5
2018-05-01,76753.61
2018-06-01,72762.52
2018-07-01,79220.44
2018-08-01,76677.53
2018-09-01,79342.43
2018-10-01,87423.55
2018-11-01,89504.03
2018-12-01,87887.27
2019-01-01,97393.75
2019-02-01,95584.35
2019-03-01,95414.56
2019-04-01,96353.33
2019-05-01,97030.32
2019-06-01,100967.2
2019-07-01,101812.13
2019-08-01,101134.61
2019-09-01,104745.32
2019-10-01,107219.83
2019-11-01,108233.28
2019-12-01,115645.34
2020-01-01,113760.57
2020-02-01,104171.57
2020-03-01,73019.76
2020-04-01,80505.89
2020-05-01,87402.59
2020-06-01,95055.82
2020-07-01,102912.24
2020-08-01,99369.15
2020-09-01,94603.38
2020-10-01,93952.4
2020-11-01,108893.32
2020-12-01,119017.24
2021-01-01,115067.55
2021-02-01,110035.17
2021-03-01,116633.72
2021-04-01,118893.84
2021-05-01,126215.73
2021-06-01,126801.66
2021-07-01,121800.79
2021-08-01,118781.03
2021-09-01,110979.1
2021-10-01,103500.71
2021-11-01,101915.45
2021-12-01,104822.44
2022-01-01,112143.51
2022-02-01,113141.94
2022-03-01,119999.23
2022-04-01,107876.16
2022-05-01,111350.51
2022-06-01,98541.95
2022-07-01,103164.69
2022-08-01,109522.88
2022-09-01,110036.79
2022-10-01,116037.08
2022-11-01,112486.01
2022-12-01,109734.6
2023-01-01,113430.54
2023-02-01,104931.93
2023-03-01,101882.2
2023-04-01,104431.63
2023-05-01,108335.07
2023-06-01,118087.0
2023-07-01,121942.98
2023-08-01,115741.81
2023-09-01,116565.17
2023-10-01,113143.67
2023-11-01,127331.12
2023-12-01,134185.24
2024-01-01,127752.28
2024-02-01,129020.02
2024-03-01,128106.1
2024-04-01,125924.19
2024-05-01,122098.09
2024-06-01,123906.55
2024-07-01,127651.81
2024-08-01,136004.01
2024-09-01,131816.44
2024-10-01,129713.33
2024-11-01,125667.83
2024-12-01,120283.4
