Trimestre,Top_1,Top_2,Top_3,Top_4,Top_5,Top_6,Top_7,Top_8,Top_9,Top_10,Top_11,Top_12,Top_13,Top_14,Top_15
2015Q1,,,,,,,,,,,,,,,
2015Q2,,,,,,,,,,,,,,,
2015Q3,,,,,,,,,,,,,,,
2015Q4,,,,,,,,,,,,,,,
2016Q1,,,,,,,,,,,,,,,
2016Q2,,,,,,,,,,,,,,,
2016Q3,,,,,,,,,,,,,,,
2016Q4,,,,,,,,,,,,,,,
2017Q1,,,,,,,,,,,,,,,
2017Q2,,,,,,,,,,,,,,,
2017Q3,,,,,,,,,,,,,,,
2017Q4,,,,,,,,,,,,,,,
2018Q1,,,,,,,,,,,,,,,
2018Q2,,,,,,,,,,,,,,,
2018Q3,,,,,,,,,,,,,,,
2018Q4,,,,,,,,,,,,,,,
2019Q1,,,,,,,,,,,,,,,
2019Q2,,,,,,,,,,,,,,,
2019Q3,,,,,,,,,,,,,,,
2019Q4,,,,,,,,,,,,,,,
2020Q1,CPLE3,CMIG4,PCAR3,PSSA3,MYPK3,SLCE3,CSAN3,RADL3,WIZC3,FLRY3,HYPE3,BHIA3,FESA4,SHUL4,CPFE3
2020Q2,CPLE3,CMIG4,PSSA3,PCAR3,CPFE3,HYPE3,CSMG3,SLCE3,CSAN3,TIMS3,TAEE11,LREN3,BHIA3,SYNE3,SHUL4
2020Q3,CMIG4,PSSA3,PCAR3,HYPE3,CSMG3,SHUL4,BHIA3,CPFE3,SLCE3,FLRY3,TOTS3,CYRE3,TAEE11,EGIE3,CSAN3
2020Q4,PCAR3,BHIA3,SHUL4,CSMG3,HYPE3,PSSA3,CPFE3,ECOR3,CMIG4,VBBR3,CPLE3,LREN3,GRND3,CYRE3,ROMI3
2021Q1,BHIA3,GGBR4,LOGG3,SLCE3,CPLE3,VBBR3,VALE3,WIZC3,HYPE3,GOAU4,PSSA3,SHUL4,CPFE3,MYPK3,CMIG4
2021Q2,GGBR4,EUCA4,CPLE3,SLCE3,BHIA3,HYPE3,PSSA3,LOGG3,TGMA3,MYPK3,CMIG4,VBBR3,USIM5,PETR4,CPFE3
2021Q3,SLCE3,GGBR4,CPLE3,VBBR3,HYPE3,TGMA3,MYPK3,PSSA3,PETR4,USIM5,CAML3,SHUL4,VALE3,AGRO3,CPFE3
2021Q4,CMIG4,CPFE3,FESA4,VBBR3,GGBR4,PCAR3,SYNE3,SLCE3,GOAU4,MOVI3,CPLE3,JSLG3,PSSA3,PETR4,TGMA3
2022Q1,CMIG4,FESA4,SLCE3,GGBR4,PCAR3,MOVI3,CPFE3,VBBR3,CAML3,USIM5,TGMA3,PETR4,AGRO3,LOGG3,FLRY3
2022Q2,FESA4,GGBR4,VBBR3,SLCE3,PCAR3,CMIG4,GOAU4,USIM5,MOVI3,TGMA3,PETR4,MYPK3,AGRO3,CAML3,JSLG3
2022Q3,FESA4,CMIG4,SLCE3,GGBR4,CAML3,GOAU4,MOVI3,VBBR3,PCAR3,USIM5,PETR4,SMTO3,TGMA3,MYPK3,JSLG3
2022Q4,CAML3,GGBR4,MOVI3,GOAU4,CMIG4,FESA4,SLCE3,LOGG3,JSLG3,BLAU3,PETR4,CPFE3,MRVE3,DIRR3,HYPE3
2023Q1,GGBR4,GOAU4,SLCE3,CAML3,CMIG4,CPFE3,FESA4,ALOS3,POMO4,SMTO3,CSNA3,JSLG3,PETR4,DIRR3,TGMA3
2023Q2,GOAU4,GGBR4,SLCE3,CAML3,JSLG3,CPFE3,CMIG4,FESA4,PETR4,DIRR3,SMTO3,CSNA3,BLAU3,POMO4,ALOS3
2023Q3,GGBR4,GOAU4,SLCE3,CMIG4,JSLG3,CPFE3,MOVI3,DIRR3,ROMI3,ALOS3,FESA4,PETR4,CYRE3,MTRE3,SMTO3
2023Q4,CPFE3,GGBR4,CMIG4,MOVI3,DIRR3,CAML3,CSAN3,JSLG3,ALOS3,VAMO3,VBBR3,EVEN3,FESA4,GOAU4,VIVT3
2024Q1,CPFE3,GGBR4,CMIG4,DIRR3,CAML3,SMTO3,EVEN3,CYRE3,VAMO3,DEXP3,VBBR3,EGIE3,MOVI3,JHSF3,VIVT3
2024Q2,CPFE3,CMIG4,CAML3,CYRE3,DIRR3,GGBR4,EVEN3,JHSF3,MOVI3,VIVT3,POMO4,ALOS3,VBBR3,CSAN3,EUCA4
2024Q3,CPFE3,CAML3,CMIG4,VBBR3,CYRE3,GGBR4,DIRR3,JHSF3,ALOS3,VAMO3,MOVI3,LAVV3,CPLE3,VIVT3,JSLG3
2024Q4,CMIG4,VBBR3,CPFE3,CAML3,GGBR4,DIRR3,LAVV3,LOGG3,ECOR3,CYRE3,JHSF3,HBOR3,VIVT3,ALOS3,SYNE3
2025Q1,CMIG4,VBBR3,CPFE3,GGBR4,DIRR3,JHSF3,CAML3,LOGG3,SMTO3,RENT3,VIVT3,SLCE3,LAVV3,ALOS3,CSAN3
2025Q2,CMIG4,CPFE3,GGBR4,LOGG3,DIRR3,VALE3,CAML3,VBBR3,HBOR3,ALOS3,RENT3,SLCE3,JHSF3,LAVV3,ENGI11
2025Q3,CMIG4,CAML3,VALE3,CPFE3,LOGG3,GGBR4,CYRE3,SMTO3,VAMO3,LAVV3,AZZA3,ECOR3,JHSF3,ALOS3,VULC3
2025Q4,CMIG4,CAML3,JHSF3,AZZA3,PETR4,ALLD3,MYPK3,CPFE3,VULC3,MILS3,BLAU3,MOVI3,FLRY3,VALE3,EVEN3
