Trimestre,Top_1,Top_2,Top_3,Top_4,Top_5,Top_6,Top_7,Top_8,Top_9,Top_10,Top_11,Top_12,Top_13,Top_14,Top_15
2015Q1,,,,,,,,,,,,,,,
2015Q2,,,,,,,,,,,,,,,
2015Q3,,,,,,,,,,,,,,,
2015Q4,,,,,,,,,,,,,,,
2016Q1,,,,,,,,,,,,,,,
2016Q2,,,,,,,,,,,,,,,
2016Q3,,,,,,,,,,,,,,,
2016Q4,,,,,,,,,,,,,,,
2017Q1,,,,,,,,,,,,,,,
2017Q2,,,,,,,,,,,,,,,
2017Q3,,,,,,,,,,,,,,,
2017Q4,,,,,,,,,,,,,,,
2018Q1,,,,,,,,,,,,,,,
2018Q2,,,,,,,,,,,,,,,
2018Q3,,,,,,,,,,,,,,,
2018Q4,,,,,,,,,,,,,,,
2019Q1,,,,,,,,,,,,,,,
2019Q2,,,,,,,,,,,,,,,
2019Q3,,,,,,,,,,,,,,,
2019Q4,,,,,,,,,,,,,,,
2020Q1,CALI3,GEPA4,CMIN3,ISAE4,CXSE3,WIZC3,ESPA3,BBSE3,SLCE3,TRIS3,ALOS3,SYNE3,YDUQ3,EGIE3,ALUP11
2020Q2,SOND5,CMIN3,PATI3,CALI3,ISAE4,SLCE3,LAVV3,CPLE3,BRAP4,HYPE3,JHSF3,TRIS3,CBEE3,ITSA4,EGIE3
2020Q3,PEAB4,SOND5,RSUL4,CMIN3,WIZC3,MTSA4,DEXP3,LAVV3,PATI3,CURY3,BRAP4,CYRE3,BBSE3,CBEE3,CXSE3
2020Q4,ISAE4,GEPA4,SOND5,MTSA4,INTB3,CBEE3,CMIN3,WIZC3,EMAE4,AURA33,DEXP3,LAVV3,CYRE3,SLCE3,PRIO3
2021Q1,PATI3,ISAE4,RSUL4,BRAP4,SLCE3,UNIP6,CSNA3,DEXP3,CMIN3,VALE3,RANI3,GOAU4,JHSF3,CBEE3,FIQE3
2021Q2,RSUL4,BRAP4,CSNA3,EUCA4,SLCE3,CMIN3,LAVV3,CGRA4,USIM5,GOAU4,DEXP3,UNIP6,VALE3,WIZC3,AURA33
2021Q3,PEAB4,BRAP4,CMIN3,CSNA3,USIM5,LAVV3,GOAU4,WIZC3,LPSB3,EUCA4,UNIP6,GGBR4,CGRA4,RANI3,PATI3
2021Q4,BRAP4,SYNE3,FESA4,LEVE3,UNIP6,AZEV4,VALE3,USIM5,SOND5,EUCA4,CGRA4,GOAU4,CMIN3,LAVV3,GGBR4
2022Q1,BRAP4,SLCE3,LEVE3,UNIP6,AURA33,VALE3,GOAU4,PRIO3,EUCA4,AGRO3,RECV3,CMIG4,MELK3,CURY3,CMIN3
2022Q2,FESA4,BRAP4,UNIP6,SLCE3,KEPL3,VALE3,GOAU4,RECV3,CGRA4,CURY3,PETR4,GGBR4,CMIN3,UCAS3,WIZC3
2022Q3,FESA4,BRAP4,KEPL3,LEVE3,VALE3,CBEE3,GOAU4,UNIP6,SLCE3,PETR4,RECV3,GGBR4,CMIN3,TASA4,WIZC3
2022Q4,FESA4,PETR4,BRAP4,CBEE3,UNIP6,VALE3,RSUL4,GOAU4,SLCE3,RECV3,LEVE3,PRIO3,CGRA4,TASA4,WIZC3
2023Q1,PETR4,BRAP4,FESA4,CBEE3,KEPL3,LEVE3,SLCE3,SHUL4,UNIP6,CXSE3,GOAU4,RSUL4,GGBR4,CMIG4,BBSE3
2023Q2,CBEE3,FESA4,PETR4,UNIP6,BRAP4,SHUL4,SLCE3,LEVE3,RSUL4,HBTS5,CXSE3,LAVV3,GOAU4,CURY3,CGRA4
2023Q3,MTSA4,CBEE3,FESA4,UNIP6,BRAP4,PETR4,SHUL4,LPSB3,CXSE3,SLCE3,CAMB3,DIRR3,LAVV3,CURY3,CMIG4
2023Q4,ALOS3,KEPL3,CAMB3,TECN3,SHUL4,BRAP4,HBTS5,PETR4,CGRA4,RSUL4,VULC3,FESA4,ISAE4,CMIG4,BBSE3
2024Q1,ATED3,CAMB3,VLID3,KEPL3,ISAE4,WIZC3,SHUL4,DIRR3,RSUL4,LEVE3,POMO4,PETR4,CASH3,CURY3,BBSE3
2024Q2,CAMB3,VLID3,SHUL4,DIRR3,BALM3,WIZC3,RSUL4,LPSB3,VULC3,CMIN3,POMO4,TECN3,BBSE3,CURY3,CXSE3
2024Q3,CAMB3,VLID3,CMIG4,SHUL4,LPSB3,VULC3,WIZC3,DIRR3,BBSE3,TECN3,RSUL4,CYRE3,PETR4,CXSE3,LEVE3
2024Q4,BALM3,DIRR3,SYNE3,LAVV3,VLID3,CAMB3,RSUL4,CURY3,LPSB3,WIZC3,GRND3,PLPL3,VULC3,CXSE3,LUXM4
2025Q1,SOND5,EALT4,CAMB3,DIRR3,VLID3,WIZC3,RSUL4,CURY3,SHUL4,VULC3,CXSE3,JHSF3,ABEV3,CSUD3,CBAV3
2025Q2,DIRR3,MNPR3,CAMB3,LAVV3,AGXY3,WIZC3,RSUL4,EALT4,VULC3,LPSB3,CXSE3,BBSE3,CSUD3,JHSF3,ITSA4
2025Q3,MNPR3,CAMB3,LPSB3,LAVV3,RSUL4,WIZC3,RVEE3,SHUL4,DIRR3,CURY3,BBSE3,EALT4,VULC3,GRND3,ABEV3
2025Q4,MNPR3,LPSB3,CAMB3,JHSF3,SOND5,WIZC3,CURY3,BBSE3,DIRR3,CXSE3,RSUL4,SHUL4,GRND3,VULC3,LUXM4
