Trimestre,Top_1,Top_2,Top_3,Top_4,Top_5,Top_6,Top_7,Top_8,Top_9,Top_10,Top_11,Top_12,Top_13,Top_14,Top_15
2015Q1,,,,,,,,,,,,,,,
2015Q2,,,,,,,,,,,,,,,
2015Q3,,,,,,,,,,,,,,,
2015Q4,,,,,,,,,,,,,,,
2016Q1,,,,,,,,,,,,,,,
2016Q2,,,,,,,,,,,,,,,
2016Q3,,,,,,,,,,,,,,,
2016Q4,,,,,,,,,,,,,,,
2017Q1,,,,,,,,,,,,,,,
2017Q2,,,,,,,,,,,,,,,
2017Q3,,,,,,,,,,,,,,,
2017Q4,,,,,,,,,,,,,,,
2018Q1,,,,,,,,,,,,,,,
2018Q2,,,,,,,,,,,,,,,
2018Q3,,,,,,,,,,,,,,,
2018Q4,,,,,,,,,,,,,,,
2019Q1,,,,,,,,,,,,,,,
2019Q2,,,,,,,,,,,,,,,
2019Q3,,,,,,,,,,,,,,,
2019Q4,,,,,,,,,,,,,,,
2020Q1,ISAE4,SLCE3,WIZC3,TRIS3,BBSE3,ALOS3,YDUQ3,SYNE3,ALUP11,EGIE3,ENEV3,TAEE11,AGRO3,SMTO3,
2020Q2,SLCE3,ISAE4,JHSF3,HYPE3,BRAP4,TRIS3,CPLE3,EGIE3,ITSA4,LREN3,TAEE11,AGRO3,ALUP11,,
2020Q3,DEXP3,WIZC3,LAVV3,CYRE3,BRAP4,CURY3,BBSE3,VALE3,JHSF3,ITSA4,AGRO3,TRIS3,CSMG3,PLPL3,EZTC3
2020Q4,ISAE4,WIZC3,AURA33,DEXP3,CYRE3,JHSF3,SLCE3,PRIO3,LAVV3,BRAP4,SHUL4,CURY3,CPLE3,SEER3,ROMI3
2021Q1,ISAE4,BRAP4,SLCE3,UNIP6,CSNA3,DEXP3,CMIN3,VALE3,RANI3,GOAU4,USIM5,JHSF3,GGBR4,CURY3,TRIS3
2021Q2,BRAP4,CSNA3,CMIN3,EUCA4,LAVV3,SLCE3,USIM5,GOAU4,DEXP3,VALE3,UNIP6,AURA33,WIZC3,JHSF3,CURY3
2021Q3,BRAP4,CSNA3,CMIN3,USIM5,LAVV3,WIZC3,GOAU4,LPSB3,UNIP6,GGBR4,RANI3,VALE3,CPLE3,SLCE3,CURY3
2021Q4,BRAP4,SYNE3,FESA4,LEVE3,AZEV4,UNIP6,VALE3,USIM5,CMIN3,LAVV3,GOAU4,LPSB3,CURY3,CSNA3,GGBR4
2022Q1,BRAP4,SLCE3,LEVE3,UNIP6,AURA33,VALE3,PRIO3,GOAU4,RECV3,CURY3,AGRO3,CMIN3,EZTC3,CMIG4,TASA4
2022Q2,FESA4,BRAP4,UNIP6,KEPL3,SLCE3,VALE3,RECV3,GOAU4,CURY3,CMIN3,PETR4,GGBR4,PRIO3,WIZC3,CXSE3
2022Q3,FESA4,BRAP4,KEPL3,LEVE3,VALE3,UNIP6,GOAU4,SLCE3,RECV3,PETR4,GGBR4,CMIN3,TASA4,CURY3,WIZC3
2022Q4,FESA4,PETR4,BRAP4,UNIP6,VALE3,LEVE3,SLCE3,PRIO3,RECV3,GOAU4,TASA4,WIZC3,CURY3,CXSE3,BLAU3
2023Q1,PETR4,BRAP4,FESA4,LEVE3,KEPL3,SLCE3,SHUL4,UNIP6,CXSE3,GOAU4,CMIG4,BBSE3,GGBR4,ABEV3,VALE3
2023Q2,FESA4,PETR4,UNIP6,BRAP4,SHUL4,SLCE3,LEVE3,GOAU4,LAVV3,CXSE3,CURY3,CMIG4,DIRR3,BBSE3,VULC3
2023Q3,UNIP6,FESA4,PETR4,SHUL4,BRAP4,CXSE3,SLCE3,VULC3,DIRR3,CMIG4,CURY3,CMIN3,LAVV3,VALE3,ABEV3
2023Q4,ALOS3,KEPL3,SHUL4,BRAP4,PETR4,ISAE4,CMIG4,VULC3,BBSE3,FESA4,WIZC3,LAVV3,CXSE3,LEVE3,PRIO3
2024Q1,VLID3,KEPL3,ISAE4,WIZC3,SHUL4,DIRR3,LEVE3,POMO4,BBSE3,CURY3,VULC3,PETR4,CASH3,LAVV3,INTB3
2024Q2,VLID3,SHUL4,DIRR3,WIZC3,VULC3,CMIN3,POMO4,CXSE3,BBSE3,CMIG4,CURY3,LAVV3,VALE3,LEVE3,PRIO3
2024Q3,VLID3,SHUL4,CMIG4,VULC3,WIZC3,DIRR3,BBSE3,TECN3,CXSE3,PETR4,POMO4,CYRE3,LEVE3,PLPL3,PRIO3
2024Q4,DIRR3,SYNE3,LAVV3,VLID3,CURY3,WIZC3,GRND3,VULC3,PLPL3,CXSE3,CMIG4,SHUL4,POMO4,SBSP3,CYRE3
2025Q1,DIRR3,VLID3,WIZC3,CURY3,SHUL4,VULC3,CXSE3,JHSF3,ABEV3,CBAV3,ITSA4,BLAU3,CPFE3,MDNE3,PLPL3
2025Q2,DIRR3,LAVV3,WIZC3,VULC3,CXSE3,BBSE3,JHSF3,ITSA4,UNIP6,MDNE3,POMO4,ABEV3,PLPL3,BLAU3,RECV3
2025Q3,LAVV3,WIZC3,SHUL4,DIRR3,CURY3,VULC3,BBSE3,POMO4,JHSF3,ABEV3,GRND3,MDNE3,ITSA4,BLAU3,VALE3
2025Q4,JHSF3,WIZC3,BBSE3,CURY3,DIRR3,CXSE3,SHUL4,VULC3,GRND3,LAVV3,ABEV3,PETR4,ITSA4,FIQE3,EVEN3
